"PLZ","Ort","Bundesland"
"8511","St. Stefan ob Stainz","Steiermark"
"8521","Wettmannstätten","Steiermark"
"8522","Groß St. Florian","Steiermark"
"8523","Frauental an der Laßnitz","Steiermark"
"8524","Bad Gams","Steiermark"
"8530","Deutschlandsberg","Steiermark"
"8541","Schwanberg","Steiermark"
"8542","St. Peter im Sulmtal","Steiermark"
"8543","St. Martin im Sulmtal","Steiermark"
"8544","Pölfing-Brunn","Steiermark"
"8551","Wies","Steiermark"
"8552","Eibiswald","Steiermark"
"8553","St. Oswald ob Eibiswald","Steiermark"
"8554","Soboth","Steiermark"
"8555","Wernersdorf","Steiermark"
"8561","Söding","Steiermark"
"8562","Mooskirchen","Steiermark"
"8563","Ligist","Steiermark"
"8564","Krottendorf-Gaisfeld","Steiermark"
"8565","St. Johann ob Hohenburg","Steiermark"
"8570","Voitsberg","Steiermark"
"8571","Bärnbach","Steiermark"
"8572","Bärnbach","Steiermark"
"8573","Kainach bei Voitsberg","Steiermark"
"8580","Köflach","Steiermark"
"8582","Rosental an der Kainach","Steiermark"
"8583","Edelschrott","Steiermark"
"8584","Hirschegg","Steiermark"
"8591","Maria Lankowitz","Steiermark"
"8592","Salla","Steiermark"
"8593","Graden","Steiermark"
"8600","Bruck an der Mur","Steiermark"
"8605","Kapfenberg","Steiermark"
"8606","Kapfenberg","Steiermark"
"8607","Kapfenberg","Steiermark"
"8611","St. Katharein an der Laming","Steiermark"
"8612","Tragöß-Oberort","Steiermark"
"8614","Breitenau","Steiermark"
"8616","Gasen","Steiermark"
"8621","Thörl","Steiermark"
"8622","Etmißl","Steiermark"
"8623","Aflenz Kurort","Steiermark"
"8624","Au","Steiermark"
"8625","Turnau","Steiermark"
"8630","Mariazell","Steiermark"
"8632","Gußwerk","Steiermark"
"8634","Wegscheid","Steiermark"
"8635","Gollrad","Steiermark"
"8636","Seewiesen","Steiermark"
"8641","St. Marein im Mürztal","Steiermark"
"8642","St. Lorenzen im Mürztal","Steiermark"
"8643","Allerheiligen im Mürztal","Steiermark"
"8644","Mürzhofen","Steiermark"
"8650","Kindberg","Steiermark"
"8652","Kindberg-Aumühl","Steiermark"
"8653","Stanz im Mürztal","Steiermark"
"8654","Fischbach","Steiermark"
"8661","Wartberg im Mürztal","Steiermark"
"8662","Mitterdorf im Mürztal","Steiermark"
"8663","Dorf Veitsch","Steiermark"
"8664","Großveitsch","Steiermark"
"8665","Langenwang","Steiermark"
"8670","Krieglach","Steiermark"
"8671","Alpl","Steiermark"
"8672","St. Kathrein am Hauenstein","Steiermark"
"8673","Ratten","Steiermark"
"8674","Rettenegg","Steiermark"
"8680","Mürzzuschlag","Steiermark"
"8682","Mürzzuschlag-Hönigsberg","Steiermark"
"8684","Spital am Semmering","Steiermark"
"8685","Steinhaus am Semmering","Steiermark"
"8691","Kapellen","Steiermark"
"8692","Neuberg an der Mürz","Steiermark"
"8693","Mürzsteg","Steiermark"
"8694","Frein an der Mürz","Steiermark"
"8700","Leoben","Steiermark"
"8703","Hinterberg","Steiermark"
"8704","Leoben","Steiermark"
"8707","Leoben","Steiermark"
"8709","Leoben-Lerchenfeld","Steiermark"
"8712","Niklasdorf","Steiermark"
"8713","St. Stefan ob Leoben","Steiermark"
"8714","Kraubath an der Mur","Steiermark"
"8715","St. Lorenzen bei Knittelfeld","Steiermark"
"8720","Knittelfeld","Steiermark"
"8722","Knittelfeld","Steiermark"
"8723","Kobenz","Steiermark"
"8724","Spielberg","Steiermark"
"8731","Bischoffeld","Steiermark"
"8732","Seckau","Steiermark"
"8733","St. Marein bei Knittelfeld","Steiermark"
"8734","Großlobming","Steiermark"
"8740","Zeltweg","Steiermark"
"8741","Weißkirchen in Steiermark","Steiermark"
"8742","Obdach","Steiermark"
"8743","Eppenstein","Steiermark"
"8750","Judenburg","Steiermark"
"8751","Judenburg - Murdorf","Steiermark"
"8753","Fohnsdorf","Steiermark"
"8754","Thalheim","Steiermark"
"8755","St. Peter ob Judenburg","Steiermark"
"8756","St. Georgen ob Judenburg","Steiermark"
"8761","Pöls","Steiermark"
"8762","Oberzeiring","Steiermark"
"8763","Möderbrugg","Steiermark"
"8764","Pusterwald","Steiermark"
"8765","St. Johann am Tauern","Steiermark"
"8766","Bretstein","Steiermark"
"8770","St. Michael in Obersteiermark","Steiermark"
"8772","Timmersdorf","Steiermark"
"8773","Kammern im Liesingtal","Steiermark"
"8774","Mautern in Steiermark","Steiermark"
"8775","Kalwang","Steiermark"
"8781","Wald am Schoberpaß","Steiermark"
"8782","Treglwang","Steiermark"
"8783","Gaishorn am See","Steiermark"
"8784","Trieben","Steiermark"
"8785","Hohentauern","Steiermark"
"8786","Rottenmann","Steiermark"
"8790","Eisenerz","Steiermark"
"8792","St. Peter-Freienstein","Steiermark"
"8793","Trofaiach","Steiermark"
"8794","Vordernberg","Steiermark"
"8795","Radmer","Steiermark"
"8800","Unzmarkt","Steiermark"
"8811","Scheifling","Steiermark"
"8812","Mariahof","Steiermark"
"8813","St. Lambrecht","Steiermark"
"8820","Neumarkt in Steiermark","Steiermark"
"8822","Mühlen","Steiermark"
"8831","Niederwölz","Steiermark"
"8832","Oberwölz","Steiermark"
"8833","Teufenbach","Steiermark"
"8841","Frojach","Steiermark"
"8842","Katsch an der Mur","Steiermark"
"8843","St. Peter am Kammersberg","Steiermark"
"8844","Schöder","Steiermark"
"8850","Murau","Steiermark"
"8852","Stolzalpe","Steiermark"
"8853","Ranten","Steiermark"
"8854","Krakaudorf","Steiermark"
"8861","St. Georgen ob Murau","Steiermark"
"8862","Stadl an der Mur","Steiermark"
"8863","Predlitz","Steiermark"
"8864","Turrach","Steiermark"
"8900","Selzthal","Steiermark"
"8903","Lassing","Steiermark"
"8904","Ardning","Steiermark"
"8911","Admont","Steiermark"
"8912","Johnsbach","Steiermark"
"8913","Weng","Steiermark"
"8920","Hieflau","Steiermark"
"8921","Lainbach","Steiermark"
"8922","Gams bei Hieflau","Steiermark"
"8923","Palfau","Steiermark"
"8924","Wildalpen","Steiermark"
"8931","Landl","Steiermark"
"8932","Weißenbach an der Enns","Steiermark"
"8933","St. Gallen","Steiermark"
"8934","Altenmarkt bei St. Gallen","Steiermark"
"8940","Liezen","Steiermark"
"8941","Weißenbach bei Liezen","Steiermark"
"8942","Wörschach","Steiermark"
"8943","Aigen im Ennstal","Steiermark"
"8950","Stainach","Steiermark"
"8951","Trautenfels","Steiermark"
"8952","Irdning","Steiermark"
"8953","Donnersbach","Steiermark"
"8954","St. Martin am Grimming","Steiermark"
"8960","Öblarn","Steiermark"
"8961","Stein an der Enns","Steiermark"
"8962","Gröbming","Steiermark"
"8963","Sankt Nikolai im Sölktal","Steiermark"
"8965","Pruggern","Steiermark"
"8966","Aich-Assach","Steiermark"
"8967","Haus","Steiermark"
"8970","Schladming","Steiermark"
"8971","Rohrmoos-Untertal","Steiermark"
"8972","Ramsau","Steiermark"
"8973","Pichl","Steiermark"
"8974","Mandling","Steiermark"
"8982","Tauplitz","Steiermark"
"8983","Bad Mitterndorf","Steiermark"
"8984","Kainisch","Steiermark"
"8990","Bad Aussee","Steiermark"
"8992","Altaussee","Steiermark"
"8993","Grundlsee","Steiermark"
"9000","Villach","Kärnten"
"9010","Klagenfurt am Wörthersee","Kärnten"
"9020","Klagenfurt am Wörthersee","Kärnten"
"9021","Klagenfurt am Wörthersee Postfach","Kärnten"
"9024","Klagenfurt am Wörthersee","Kärnten"
"9025","Klagenfurt am Wörthersee","Kärnten"
"9026","Klagenfurt am Wörthersee","Kärnten"
"9027","Klagenfurt am Wörthersee","Kärnten"
"9028","Klagenfurt am Wörthersee","Kärnten"
"9033","Klagenfurt","Kärnten"
"9034","Klagenfurt","Kärnten"
"9035","Klagenfurt","Kärnten"
"9061","Klagenfurt-Wölfnitz","Kärnten"
"9062","Moosburg","Kärnten"
"9063","Maria Saal","Kärnten"
"9064","Pischeldorf","Kärnten"
"9065","Ebenthal","Kärnten"
"9071","Köttmannsdorf","Kärnten"
"9072","Ludmannsdorf","Kärnten"
"9073","Klagenfurt-Viktring","Kärnten"
"9074","Keutschach","Kärnten"
"9081","Reifnitz","Kärnten"
"9082","Maria Wörth","Kärnten"
"9100","Völkermarkt","Kärnten"
"9102","Mittertrixen","Kärnten"
"9103","Diex","Kärnten"
"9104","Pustritz","Kärnten"
"9111","Haimburg","Kärnten"
"9112","Griffen","Kärnten"
"9113","Ruden","Kärnten"
"9121","Tainach","Kärnten"
"9122","St. Kanzian am Klopeiner See","Kärnten"
"9123","St. Primus","Kärnten"
"9125","Kühnsdorf","Kärnten"
"9130","Poggersdorf","Kärnten"
"9131","Grafenstein","Kärnten"
"9132","Gallizien","Kärnten"
"9133","Sittersdorf","Kärnten"
"9135","Bad Eisenkappel","Kärnten"
"9141","Eberndorf","Kärnten"
"9142","Globasnitz","Kärnten"
"9143","St. Michael ob Bleiburg","Kärnten"
"9150","Bleiburg","Kärnten"
"9155","Neuhaus","Kärnten"
"9161","Maria Rain","Kärnten"
"9162","Strau","Kärnten"
"9163","Unterbergen","Kärnten"
"9170","Ferlach","Kärnten"
"9171","Ferlach","Kärnten"
"9172","Zell-Pfarre","Kärnten"
"9173","St. Margareten im Rosental","Kärnten"
"9181","Feistritz im Rosental","Kärnten"
"9182","Maria Elend","Kärnten"
"9183","Rosenbach","Kärnten"
"9184","St. Jakob im Rosental","Kärnten"
"9201","Krumpendorf","Kärnten"
"9210","Pörtschach am Wörther See","Kärnten"
"9212","Techelsberg am Wörther See","Kärnten"
"9220","Velden am Wörther See","Kärnten"
"9231","Köstenberg","Kärnten"
"9232","Rosegg","Kärnten"
"9241","Wernberg","Kärnten"
"9300","St. Veit an der Glan","Kärnten"
"9302","St. Veit an der Glan","Kärnten"
"9311","Kraig","Kärnten"
"9312","Meiselding","Kärnten"
"9313","St. Georgen am Längsee","Kärnten"
"9314","Launsdorf","Kärnten"
"9321","Kappel am Krappfeld","Kärnten"
"9322","Micheldorf","Kärnten"
"9323","Wildbad Einöd","Steiermark"
"9324","Passering","Kärnten"
"9330","Treibach-Althofen","Kärnten"
"9334","Guttaring","Kärnten"
"9335","Lölling","Kärnten"
"9341","Straßburg","Kärnten"
"9342","Gurk","Kärnten"
"9343","Zweinitz","Kärnten"
"9344","Weitensfeld","Kärnten"
"9345","Kleinglödnitz","Kärnten"
"9346","Glödnitz","Kärnten"
"9360","Friesach","Kärnten"
"9361","St. Salvator","Kärnten"
"9362","Grades","Kärnten"
"9363","Metnitz","Kärnten"
"9371","Brückl","Kärnten"
"9372","Eberstein","Kärnten"
"9373","Klein St. Paul","Kärnten"
"9374","Wieting","Kärnten"
"9375","Hüttenberg","Kärnten"
"9376","Knappenberg","Kärnten"
"9400","Wolfsberg","Kärnten"
"9402","Wolfsberg"," Kärnten","Kärnten"
"9411","St. Michael","Kärnten"
"9412","St. Margarethen im Lavanttal","Kärnten"
"9413","St. Gertraud","Kärnten"
"9421","Eitweg","Kärnten"
"9422","Maria Rojach","Kärnten"
"9423","St. Georgen","Kärnten"
"9431","St. Stefan","Kärnten"
"9433","St. Andrä","Kärnten"
"9441","Twimberg","Kärnten"
"9451","Preitenegg","Kärnten"
"9461","Prebl","Kärnten"
"9462","Bad St. Leonhard im Lavanttal","Kärnten"
"9463","Reichenfels","Kärnten"
"9470","St. Paul im Lavanttal","Kärnten"
"9472","Ettendorf","Kärnten"
"9473","Lavamünd","Kärnten"
"9500","Villach","Kärnten"
"9501","Villach","Kärnten"
"9502","Villach","Kärnten"
"9503","Villach","Kärnten"
"9504","Villach-Warmbad Villach","Kärnten"
"9507","Villach","Kärnten"
"9509","Zauchen","Kärnten"
"9510","Villach","Kärnten"
"9520","Sattendorf","Kärnten"
"9521","Treffen","Kärnten"
"9523","Villach-Landskron","Kärnten"
"9524","Villach-St. Magdalen","Kärnten"
"9530","Bad Bleiberg","Kärnten"
"9531","Kreuth","Kärnten"
"9535","Schiefling am Wörthersee","Kärnten"
"9536","St. Egyden","Kärnten"
"9541","Einöde","Kärnten"
"9542","Afritz","Kärnten"
"9543","Arriach","Kärnten"
"9544","Feld am See","Kärnten"
"9545","Radenthein","Kärnten"
"9546","Bad Kleinkirchheim","Kärnten"
"9551","Bodensdorf","Kärnten"
"9552","Steindorf am Ossiacher See","Kärnten"
"9554","St. Urban","Kärnten"
"9555","Glanegg","Kärnten"
"9556","Liebenfels","Kärnten"
"9560","Feldkirchen in Kärnten","Kärnten"
"9562","Himmelberg","Kärnten"
"9563","Gnesau","Kärnten"
"9564","Patergassen","Kärnten"
"9565","Ebene Reichenau","Kärnten"
"9570","Ossiach","Kärnten"
"9571","Sirnitz","Kärnten"
"9572","Deutsch Griffen","Kärnten"
"9580","Villach-Drobollach am Faaker See","Kärnten"
"9581","Ledenitzen","Kärnten"
"9582","Latschach","Kärnten"
"9583","Faak am See","Kärnten"
"9584","Finkenstein","Kärnten"
"9585","Gödersdorf","Kärnten"
"9586","Fürnitz","Kärnten"
"9587","Riegersdorf","Kärnten"
"9601","Arnoldstein","Kärnten"
"9602","Thörl-Maglern","Kärnten"
"9611","Nötsch","Kärnten"
"9612","St. Georgen im Gailtal","Kärnten"
"9613","Feistritz an der Gail","Kärnten"
"9614","Vorderberg","Kärnten"
"9615","Görtschach","Kärnten"
"9620","Hermagor","Kärnten"
"9622","Weißbriach","Kärnten"
"9623","St. Stefan an der Gail","Kärnten"
"9624","Egg","Kärnten"
"9631","Jenig","Kärnten"
"9632","Kirchbach","Kärnten"
"9633","Reisach","Kärnten"
"9634","Gundersheim","Kärnten"
"9635","Dellach","Kärnten"
"9640","Kötschach-Mauthen","Kärnten"
"9642","Laas","Kärnten"
"9651","St. Jakob im Lesachtal","Kärnten"
"9652","Birnbaum","Kärnten"
"9653","Liesing","Kärnten"
"9654","St. Lorenzen im Lesachtal","Kärnten"
"9655","Maria Luggau","Kärnten"
"9701","Rothenthurn","Kärnten"
"9702","Ferndorf","Kärnten"
"9710","Feistritz an der Drau","Kärnten"
"9711","Paternion","Kärnten"
"9712","Fresach","Kärnten"
"9713","Zlan","Kärnten"
"9714","Stockenboi","Kärnten"
"9721","Weißenstein","Kärnten"
"9722","Gummern","Kärnten"
"9751","Sachsenburg","Kärnten"
"9753","Lind im Drautal","Kärnten"
"9754","Steinfeld","Kärnten"
"9761","Greifenburg","Kärnten"
"9762","Weißensee","Kärnten"
"9771","Berg im Drautal","Kärnten"
"9772","Dellach","Kärnten"
"9773","Irschen","Kärnten"
"9781","Oberdrauburg","Kärnten"
"9782","Nikolsdorf","Tirol"
"9800","Spittal an der Drau","Kärnten"
"9802","Spittal an der Drau","Kärnten"
"9803","Spittal an der Drau","Kärnten"
"9805","Baldramsdorf","Kärnten"
"9811","Lendorf","Kärnten"
"9812","Pusarnitz","Kärnten"
"9813","Möllbrücke","Kärnten"
"9814","Mühldorf","Kärnten"
"9815","Kolbnitz","Kärnten"
"9816","Penk","Kärnten"
"9821","Obervellach","Kärnten"
"9822","Mallnitz","Kärnten"
"9831","Flattach","Kärnten"
"9832","Stall","Kärnten"
"9833","Rangersdorf","Kärnten"
"9841","Winklern","Kärnten"
"9842","Mörtschach","Kärnten"
"9843","Großkirchheim","Kärnten"
"9844","Heiligenblut","Kärnten"
"9851","Lieserbrücke","Kärnten"
"9852","Trebesing","Kärnten"
"9853","Gmünd","Kärnten"
"9854","Malta","Kärnten"
"9861","Eisentratten","Kärnten"
"9862","Kremsbrücke","Kärnten"
"9863","Rennweg","Kärnten"
"9871","Seeboden","Kärnten"
"9872","Millstatt am See","Kärnten"
"9873","Döbriach","Kärnten"
"9900","Lienz","Tirol"
"9903","Oberlienz","Tirol"
"9904","Thurn","Tirol"
"9905","Gaimberg","Tirol"
"9906","Lavant","Tirol"
"9907","Tristach","Tirol"
"9908","Amlach","Tirol"
"9909","Leisach","Tirol"
"9911","Assling","Tirol"
"9912","Anras","Tirol"
"9913","Abfaltersbach","Tirol"
"9918","Strassen","Tirol"
"9919","Heinfels","Tirol"
"9920","Sillian","Tirol"
"9931","Außervillgraten","Tirol"
"9932","Innervillgraten","Tirol"
"9941","Kartitsch","Tirol"
"9942","Obertilliach","Tirol"
"9943","Untertilliach","Tirol"
"9951","Ainet","Tirol"
"9952","St. Johann im Walde","Tirol"
"9953","Huben","Tirol"
"9954","Schlaiten","Tirol"
"9961","Hopfgarten in Defereggen","Tirol"
"9962","St. Veit in Defereggen","Tirol"
"9963","St. Jakob in Defereggen","Tirol"
"9971","Matrei in Osttirol","Tirol"
"9972","Virgen","Tirol"
"9974","Prägraten","Tirol"
"9981","Kals","Tirol"
"9990","Nußdorf-Debant","Tirol"
"9991","Dölsach","Tirol"
"9992","Iselsberg-Stronach","Tirol"
